"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Legacy Closing Rates"

"DESCRIPTION"
"The legacy exchange rates were last updated 28 April 2017 and will not be updated in future. Exchange rates are expressed as 1 unit of the foreign currency converted into Canadian dollars. All Bank of Canada exchange rates are indicative rates only."

"LINK"
"https://www.bankofcanada.ca/?p=190915"

"SERIES"
"id","label","description"
"IEXE1601.CL","AUD_CLOSE","Australian dollar (close)"
"IEXE0301.CL","DKK_CLOSE","Danish krone (close)"
"EUROCAE01.CL","EUR_CLOSE","European Euro (close)"
"IEXE1401.CL","HKD_CLOSE","Hong Kong dollar (close)"
"IEXE0701.CL","JPY_CLOSE","Japanese yen (close)"
"IEXE2001.CL","MXN_CLOSE","Mexican peso (close)"
"IEXE1901.CL","NZD_CLOSE","New Zealand dollar (close)"
"IEXE0901.CL","NOK_CLOSE","Norwegian krone (close)"
"IEXE1001.CL","SEK_CLOSE","Swedish krona (close)"
"IEXE1101.CL","CHF_CLOSE","Swiss franc (close)"
"IEXE1201.CL","GBP_CLOSE","U.K. pound sterling (close)"
"IEXE0102","USD_CLOSE","U.S. dollar (close)"
"IEXE0103","USD_HIGH","U.S. dollar (high)"
"IEXE0104","USD_LOW","U.S. dollar (low)"
"IEXE0106","USD_CLOSE_90_DAY","U.S. dollar closing,90-day"

"OBSERVATIONS"
"date","IEXE1601.CL","IEXE0301.CL","EUROCAE01.CL","IEXE1401.CL","IEXE0701.CL","IEXE2001.CL","IEXE1901.CL","IEXE0901.CL","IEXE1001.CL","IEXE1101.CL","IEXE1201.CL","IEXE0102","IEXE0103","IEXE0104","IEXE0106"
"2009-08-12","0.9078","0.2078","1.5468","0.140433","0.01133","0.08399","0.7325","0.1787","0.1512","1.0111","1.7966","1.0884","1.1048","1.0848","1.0881"
"2009-08-13","0.9172","0.2090","1.5555","0.140505","0.01142","0.08459","0.7395","0.1799","0.1520","1.0176","1.8053","1.0890","1.0908","1.0792","1.0888"
"2009-08-14","0.9129","0.2096","1.5603","0.141901","0.01160","0.08539","0.7439","0.1806","0.1524","1.0249","1.8181","1.0998","1.1025","1.0814","1.0996"
"2009-08-17","0.9099","0.2095","1.5594","0.142851","0.01172","0.08526","0.7399","0.1794","0.1519","1.0270","1.8093","1.1072","1.1121","1.1036","1.1070"
"2009-08-18","0.9106","0.2091","1.5567","0.142141","0.01163","0.08515","0.7434","0.1802","0.1520","1.0238","1.8250","1.1018","1.1108","1.1002","1.1016"
"2009-08-19","0.9083","0.2095","1.5595","0.141339","0.01165","0.08501","0.7390","0.1808","0.1525","1.0285","1.8116","1.0956","1.1114","1.0944","1.0954"
"2009-08-20","0.9044","0.2083","1.5502","0.140276","0.01154","0.08444","0.7363","0.1808","0.1521","1.0231","1.7951","1.0873","1.0996","1.0864","1.0872"
"2009-08-21","0.9016","0.2084","1.5510","0.139587","0.01147","0.08430","0.7377","0.1804","0.1538","1.0234","1.7839","1.0819","1.0854","1.0762","1.0817"
"2009-08-24","0.9024","0.2068","1.5395","0.138968","0.01140","0.08332","0.7379","0.1791","0.1526","1.0142","1.7679","1.0770","1.0787","1.0727","1.0769"
"2009-08-25","0.9088","0.2088","1.5541","0.140103","0.01154","0.08349","0.7432","0.1796","0.1539","1.0235","1.7760","1.0858","1.0870","1.0718","1.0857"
"2009-08-26","0.9092","0.2103","1.5649","0.141636","0.01166","0.08339","0.7475","0.1810","0.1540","1.0281","1.7835","1.0978","1.1001","1.0880","1.0977"
"2009-08-27","0.9122","0.2094","1.5587","0.140045","0.01161","0.08199","0.7473","0.1800","0.1527","1.0259","1.7674","1.0856","1.1021","1.0830","1.0855"
"2009-08-28","0.9190","0.2098","1.5615","0.140872","0.01167","0.08243","0.7481","0.1810","0.1537","1.0304","1.7770","1.0919","1.0937","1.0791","1.0918"
"2009-08-31","0.9253","0.2109","1.5698","0.141282","0.01177","0.08200","0.7515","0.1820","0.1538","1.0342","1.7826","1.0950","1.1094","1.0933","1.0949"
"2009-09-01","0.9126","0.2109","1.5697","0.142447","0.01189","0.08089","0.7453","0.1811","0.1517","1.0358","1.7844","1.1041","1.1068","1.0910","1.1040"
"2009-09-02","0.9213","0.2118","1.5769","0.142534","0.01199","0.08093","0.7433","0.1815","0.1530","1.0419","1.7983","1.1048","1.1103","1.1026","1.1047"
"2009-09-03","0.9256","0.2113","1.5725","0.142349","0.01190","0.08152","0.7470","0.1823","0.1525","1.0383","1.8018","1.1033","1.1075","1.0971","1.1032"
"2009-09-04","0.9246","0.2088","1.5544","0.140214","0.01168","0.08126","0.7469","0.1809","0.1517","1.0247","1.7819","1.0867","1.0978","1.0824","1.0866"
"2009-09-08","0.9311","0.2103","1.5651","0.139277","0.01170","0.08081","0.7517","0.1824","0.1533","1.0318","1.7809","1.0794","1.0823","1.0688","1.0793"
"2009-09-09","0.9312","0.2113","1.5731","0.139473","0.01174","0.08028","0.7524","0.1832","0.1541","1.0380","1.7868","1.0810","1.0820","1.0745","1.0809"
"2009-09-10","0.9312","0.2113","1.5725","0.139127","0.01176","0.08061","0.7586","0.1814","0.1542","1.0385","1.7971","1.0783","1.0877","1.0780","1.0781"
"2009-09-11","0.9307","0.2113","1.5729","0.139171","0.01190","0.08087","0.7616","0.1816","0.1541","1.0398","1.7980","1.0786","1.0793","1.0716","1.0784"
"2009-09-14","0.9328","0.2128","1.5841","0.139809","0.01192","0.08100","0.7587","0.1833","0.1551","1.0472","1.7952","1.0835","1.0927","1.0827","1.0833"
"2009-09-15","0.9263","0.2113","1.5723","0.138246","0.01177","0.08056","0.7565","0.1823","0.1542","1.0362","1.7679","1.0714","1.0870","1.0711","1.0712"
"2009-09-16","0.9316","0.2108","1.5688","0.137406","0.01173","0.08081","0.7610","0.1822","0.1552","1.0332","1.7574","1.0649","1.0730","1.0643","1.0647"
"2009-09-17","0.9284","0.2112","1.5715","0.137653","0.01170","0.08041","0.7565","0.1823","0.1550","1.0365","1.7528","1.0668","1.0675","1.0591","1.0666"
"2009-09-18","0.9280","0.2114","1.5727","0.138021","0.01171","0.08058","0.7580","0.1823","0.1558","1.0382","1.7368","1.0697","1.0744","1.0663","1.0695"
"2009-09-21","0.9298","0.2125","1.5813","0.139022","0.01170","0.08055","0.7615","0.1824","0.1560","1.0434","1.7465","1.0775","1.0855","1.0760","1.0773"
"2009-09-22","0.9338","0.2126","1.5823","0.137944","0.01172","0.08018","0.7703","0.1833","0.1571","1.0447","1.7498","1.0691","1.0737","1.0669","1.0689"
"2009-09-23","0.9358","0.2130","1.5851","0.138713","0.01177","0.08048","0.7747","0.1852","0.1569","1.0477","1.7589","1.0751","1.0765","1.0666","1.0749"
"2009-09-24","0.9425","0.2145","1.5960","0.140515","0.01194","0.08067","0.7805","0.1868","0.1572","1.0572","1.7494","1.0890","1.0949","1.0708","1.0888"
"2009-09-25","0.9443","0.2152","1.6015","0.140865","0.01215","0.08023","0.7827","0.1878","0.1569","1.0606","1.7390","1.0917","1.0983","1.0865","1.0915"
"2009-09-28","0.9470","0.2134","1.5883","0.140323","0.01213","0.08027","0.7782","0.1863","0.1557","1.0526","1.7270","1.0875","1.0956","1.0834","1.0873"
"2009-09-29","0.9453","0.2125","1.5817","0.140065","0.01203","0.08026","0.7749","0.1855","0.1546","1.0467","1.7313","1.0855","1.0925","1.0834","1.0854"
"2009-09-30","0.9446","0.2105","1.5668","0.138155","0.01193","0.07933","0.7733","0.1854","0.1536","1.0333","1.7110","1.0707","1.0800","1.0672","1.0706"
"2009-10-01","0.9415","0.2115","1.5746","0.139934","0.01208","0.07877","0.7741","0.1860","0.1538","1.0406","1.7278","1.0845","1.0847","1.0682","1.0844"
"2009-10-02","0.9346","0.2119","1.5773","0.139669","0.01206","0.07945","0.7747","0.1866","0.1538","1.0450","1.7226","1.0825","1.0961","1.0790","1.0824"
"2009-10-05","0.9385","0.2106","1.5680","0.138070","0.01195","0.07858","0.7813","0.1866","0.1528","1.0370","1.7061","1.0701","1.0778","1.0695","1.0700"
"2009-10-06","0.9427","0.2095","1.5595","0.136720","0.01193","0.07868","0.7772","0.1862","0.1529","1.0318","1.6861","1.0596","1.0646","1.0546","1.0595"
"2009-10-07","0.9452","0.2095","1.5596","0.137083","0.01199","0.07939","0.7807","0.1864","0.1515","1.0278","1.6942","1.0624","1.0650","1.0567","1.0623"
"2009-10-08","0.9528","0.2089","1.5552","0.135768","0.01189","0.07943","0.7809","0.1865","0.1509","1.0246","1.6912","1.0522","1.0632","1.0506","1.0521"
"2009-10-09","0.9439","0.2064","1.5362","0.134764","0.01163","0.07844","0.7674","0.1848","0.1489","1.0114","1.6549","1.0444","1.0488","1.0411","1.0444"
"2009-10-13","0.9382","0.2065","1.5370","0.133742","0.01155","0.07878","0.7606","0.1844","0.1485","1.0129","1.6470","1.0365","1.0375","1.0288","1.0365"
"2009-10-14","0.9374","0.2056","1.5305","0.132374","0.01148","0.07852","0.7579","0.1850","0.1484","1.0105","1.6383","1.0259","1.0315","1.0251","1.0259"
"2009-10-15","0.9518","0.2076","1.5452","0.133485","0.01142","0.07910","0.7688","0.1861","0.1493","1.0187","1.6829","1.0345","1.0373","1.0272","1.0345"
"2009-10-16","0.9523","0.2077","1.5462","0.133960","0.01142","0.07922","0.7675","0.1847","0.1493","1.0192","1.6979","1.0382","1.0436","1.0349","1.0382"
"2009-10-19","0.9551","0.2066","1.5381","0.132809","0.01136","0.07933","0.7761","0.1850","0.1481","1.0162","1.6851","1.0293","1.0395","1.0282","1.0293"
"2009-10-20","0.9687","0.2108","1.5688","0.135589","0.01158","0.08041","0.7859","0.1878","0.1510","1.0377","1.7198","1.0508","1.0528","1.0304","1.0508"
"2009-10-21","0.9684","0.2108","1.5688","0.134967","0.01151","0.08068","0.7929","0.1882","0.1526","1.0383","1.7346","1.0460","1.0566","1.0377","1.0460"
"2009-10-22","0.9716","0.2116","1.5746","0.135201","0.01148","0.08129","0.7953","0.1894","0.1542","1.0428","1.7415","1.0478","1.0545","1.0450","1.0478"
"2009-10-23","0.9700","0.2119","1.5774","0.135729","0.01142","0.08041","0.7932","0.1891","0.1548","1.0421","1.7153","1.0519","1.0546","1.0488","1.0519"
"2009-10-26","0.9760","0.2131","1.5859","0.137677","0.01157","0.08037","0.7972","0.1895","0.1556","1.0479","1.7418","1.0670","1.0698","1.0530","1.0670"
"2009-10-27","0.9752","0.2119","1.5770","0.137564","0.01160","0.08046","0.7923","0.1882","0.1528","1.0426","1.7455","1.0661","1.0710","1.0627","1.0661"
"2009-10-28","0.9678","0.2132","1.5871","0.139160","0.01188","0.08106","0.7856","0.1880","0.1526","1.0509","1.7662","1.0785","1.0806","1.0687","1.0785"
"2009-10-29","0.9771","0.2126","1.5824","0.137671","0.01166","0.08169","0.7813","0.1890","0.1530","1.0471","1.7635","1.0670","1.0800","1.0655","1.0670"
"2009-10-30","0.9740","0.2139","1.5923","0.139600","0.01202","0.08194","0.7764","0.1889","0.1525","1.0545","1.7762","1.0819","1.0839","1.0713","1.0819"
"2009-11-02","0.9738","0.2138","1.5915","0.139071","0.01193","0.08150","0.7738","0.1872","0.1527","1.0543","1.7672","1.0778","1.0830","1.0715","1.0778"
"2009-11-03","0.9637","0.2112","1.5715","0.137833","0.01182","0.08053","0.7694","0.1850","0.1503","1.0404","1.7532","1.0682","1.0817","1.0656","1.0681"
"2009-11-04","0.9680","0.2125","1.5815","0.137266","0.01174","0.08002","0.7725","0.1873","0.1511","1.0473","1.7620","1.0638","1.0668","1.0592","1.0637"
"2009-11-05","0.9704","0.2130","1.5853","0.137523","0.01174","0.08011","0.7688","0.1878","0.1525","1.0488","1.7678","1.0658","1.0669","1.0606","1.0657"
"2009-11-06","0.9870","0.2145","1.5963","0.138748","0.01195","0.08016","0.7789","0.1888","0.1536","1.0571","1.7860","1.0753","1.0781","1.0656","1.0752"
"2009-11-09","0.9832","0.2130","1.5848","0.136439","0.01175","0.07972","0.7848","0.1892","0.1543","1.0484","1.7707","1.0574","1.0632","1.0542","1.0573"
"2009-11-10","0.9768","0.2114","1.5730","0.135497","0.01169","0.07937","0.7790","0.1878","0.1537","1.0417","1.7566","1.0501","1.0597","1.0486","1.0500"
"2009-11-12","0.9743","0.2107","1.5674","0.136271","0.01168","0.08004","0.7729","0.1863","0.1532","1.0375","1.7511","1.0561","1.0577","1.0479","1.0560"
"2009-11-13","0.9814","0.2107","1.5675","0.135548","0.01172","0.08056","0.7820","0.1875","0.1539","1.0382","1.7536","1.0505","1.0552","1.0472","1.0504"
"2009-11-16","0.9815","0.2107","1.5678","0.135111","0.01175","0.08067","0.7842","0.1884","0.1539","1.0393","1.7625","1.0471","1.0525","1.0427","1.0470"
"2009-11-17","0.9782","0.2101","1.5631","0.135623","0.01177","0.08064","0.7835","0.1873","0.1529","1.0342","1.7673","1.0511","1.0619","1.0505","1.0510"
"2009-11-18","0.9804","0.2120","1.5774","0.136065","0.01180","0.08107","0.7872","0.1886","0.1542","1.0440","1.7652","1.0545","1.0585","1.0463","1.0544"
"2009-11-19","0.9780","0.2132","1.5866","0.137226","0.01194","0.08154","0.7782","0.1886","0.1543","1.0494","1.7718","1.0635","1.0690","1.0599","1.0634"
"2009-11-20","0.9795","0.2137","1.5900","0.138050","0.01202","0.08182","0.7751","0.1892","0.1544","1.0516","1.7664","1.0699","1.0727","1.0682","1.0698"
"2009-11-23","0.9766","0.2124","1.5804","0.136237","0.01187","0.08138","0.7748","0.1890","0.1535","1.0457","1.7545","1.0558","1.0601","1.0540","1.0557"
"2009-11-24","0.9727","0.2128","1.5833","0.136516","0.01195","0.08203","0.7667","0.1881","0.1529","1.0485","1.7536","1.0580","1.0624","1.0562","1.0579"
"2009-11-25","0.9746","0.2128","1.5833","0.134899","0.01197","0.08160","0.7654","0.1881","0.1529","1.0498","1.7485","1.0455","1.0527","1.0450","1.0455"
"2009-11-26","0.9680","0.2140","1.5919","0.136835","0.01225","0.08148","0.7588","0.1876","0.1521","1.0572","1.7510","1.0605","1.0622","1.0530","1.0605"
"2009-11-27","0.9634","0.2135","1.5887","0.136963","0.01226","0.08209","0.7534","0.1871","0.1522","1.0558","1.7483","1.0615","1.0750","1.0596","1.0615"
"2009-11-30","0.9669","0.2130","1.5852","0.136209","0.01221","0.08163","0.7559","0.1860","0.1514","1.0508","1.7366","1.0556","1.0612","1.0533","1.0557"
"2009-12-01","0.9680","0.2122","1.5789","0.135058","0.01207","0.08135","0.7605","0.1861","0.1515","1.0477","1.7395","1.0467","1.0473","1.0406","1.0468"
