date,rate
2008-09-02,1.068600
2008-09-03,1.061000
2008-09-04,1.069500
2008-09-05,1.063300
2008-09-08,1.064700
2008-09-09,1.070600
2008-09-10,1.069700
2008-09-11,1.076500
2008-09-12,1.061100
2008-09-15,1.067900
2008-09-16,1.069500
2008-09-17,1.068800
2008-09-18,1.061800
2008-09-19,1.050000
2008-09-22,1.033400
2008-09-23,1.036300
2008-09-24,1.036700
2008-09-25,1.034300
2008-09-26,1.032800
2008-09-29,1.043900
2008-09-30,1.064200
2008-10-01,1.062000
2008-10-02,1.079900
2008-10-03,1.081500
2008-10-06,1.099200
2008-10-07,1.107300
2008-10-08,1.122900
2008-10-09,1.145800
2008-10-10,1.180800
2008-10-14,1.161600
2008-10-15,1.187900
2008-10-16,1.181600
2008-10-17,1.186900
2008-10-20,1.193700
2008-10-21,1.213700
2008-10-22,1.254700
2008-10-23,1.255700
2008-10-24,1.272900
2008-10-27,1.288900
2008-10-28,1.282700
2008-10-29,1.225000
2008-10-30,1.218000
2008-10-31,1.204500
2008-11-03,1.180900
2008-11-04,1.151100
2008-11-05,1.168000
2008-11-06,1.191600
2008-11-07,1.188000
2008-11-10,1.196500
2008-11-12,1.237400
2008-11-13,1.211500
2008-11-14,1.225500
2008-11-17,1.223200
2008-11-18,1.229900
2008-11-19,1.252600
2008-11-20,1.293500
2008-11-21,1.277200
2008-11-24,1.234500
2008-11-25,1.225000
2008-11-26,1.230200
2008-11-27,1.231100
2008-11-28,1.237000
2008-12-01,1.245100
2008-12-02,1.251000
2008-12-03,1.253500
2008-12-04,1.278100
2008-12-05,1.270900
2008-12-08,1.254000
2008-12-09,1.264600
2008-12-10,1.259600
2008-12-11,1.233700
2008-12-12,1.251200
2008-12-15,1.231700
2008-12-16,1.201800
2008-12-17,1.196700
2008-12-18,1.206500
2008-12-19,1.223000
2008-12-22,1.219000
2008-12-23,1.214600
2008-12-24,1.209200
2008-12-29,1.218400
2008-12-30,1.221000
2008-12-31,1.218000
2009-01-02,1.215600
2009-01-05,1.190000
2009-01-06,1.182800
2009-01-07,1.197100
2009-01-08,1.178500
2009-01-09,1.190800
2009-01-12,1.215400
2009-01-13,1.224800
2009-01-14,1.248300
2009-01-15,1.251500
2009-01-16,1.248000
2009-01-19,1.254700
2009-01-20,1.267600
2009-01-21,1.255800
2009-01-22,1.253700
2009-01-23,1.231200
2009-01-26,1.224100
2009-01-27,1.226300
2009-01-28,1.215200
2009-01-29,1.223300
2009-01-30,1.226500
2009-02-02,1.243600
2009-02-03,1.230100
2009-02-04,1.232000
2009-02-05,1.231000
2009-02-06,1.225500
2009-02-09,1.216400
2009-02-10,1.246200
2009-02-11,1.242800
2009-02-12,1.244800
2009-02-13,1.234100
2009-02-16,1.243800
2009-02-17,1.263700
2009-02-18,1.258100
2009-02-19,1.259300
2009-02-20,1.249300
2009-02-23,1.251300
2009-02-24,1.243300
2009-02-25,1.254600
2009-02-26,1.253200
2009-02-27,1.272300
2009-03-02,1.291400
2009-03-03,1.291100
2009-03-04,1.275400
2009-03-05,1.288400
2009-03-06,1.286500
2009-03-09,1.299100
2009-03-10,1.285200
2009-03-11,1.286200
2009-03-12,1.279100
2009-03-13,1.272500
2009-03-16,1.273500
2009-03-17,1.268800
2009-03-18,1.246300
2009-03-19,1.237700
2009-03-20,1.239500
2009-03-23,1.222500
2009-03-24,1.231800
2009-03-25,1.228500
2009-03-26,1.228900
2009-03-27,1.237400
2009-03-30,1.261800
2009-03-31,1.261300
2009-04-01,1.261000
2009-04-02,1.240900
2009-04-03,1.230400
2009-04-06,1.238500
2009-04-07,1.237800
2009-04-08,1.237300
2009-04-09,1.225200
2009-04-13,1.219300
2009-04-14,1.214000
2009-04-15,1.203200
2009-04-16,1.209600
2009-04-17,1.215000
2009-04-20,1.238500
2009-04-21,1.236300
2009-04-22,1.240000
2009-04-23,1.223800
2009-04-24,1.209700
2009-04-27,1.219500
2009-04-28,1.220500
2009-04-29,1.203000
2009-04-30,1.193000
2009-05-01,1.185900
2009-05-04,1.173500
2009-05-05,1.176100
2009-05-06,1.165800
2009-05-07,1.172500
2009-05-08,1.149700
2009-05-11,1.165800
2009-05-12,1.162000
2009-05-13,1.175900
2009-05-14,1.171000
2009-05-15,1.179100
2009-05-19,1.156300
2009-05-20,1.140400
2009-05-21,1.138000
2009-05-22,1.120300
2009-05-25,1.123500
2009-05-26,1.117800
2009-05-27,1.119500
2009-05-28,1.114800
2009-05-29,1.091700
2009-06-01,1.091000
2009-06-02,1.081000
2009-06-03,1.108400
2009-06-04,1.096800
2009-06-05,1.119000
2009-06-08,1.116800
2009-06-09,1.103200
2009-06-10,1.108000
2009-06-11,1.103200
2009-06-12,1.117900
2009-06-15,1.132400
2009-06-16,1.134600
2009-06-17,1.131000
2009-06-18,1.133300
2009-06-19,1.135100
2009-06-22,1.152600
2009-06-23,1.150000
2009-06-24,1.152500
2009-06-25,1.156200
2009-06-26,1.154200
2009-06-29,1.156700
2009-06-30,1.163000
2009-07-02,1.162300
2009-07-03,1.161700
2009-07-06,1.159100
2009-07-07,1.166100
2009-07-08,1.167600
2009-07-09,1.162300
2009-07-10,1.164700
2009-07-13,1.151800
2009-07-14,1.136000
2009-07-15,1.114300
2009-07-16,1.117200
2009-07-17,1.116100
2009-07-20,1.106800
2009-07-21,1.107100
2009-07-22,1.098500
2009-07-23,1.086500
2009-07-24,1.082900
2009-07-27,1.081100
2009-07-28,1.083100
2009-07-29,1.090700
2009-07-30,1.084200
2009-07-31,1.077500
2009-08-04,1.074500
2009-08-05,1.070100
2009-08-06,1.076700
2009-08-07,1.082300
2009-08-10,1.088700
2009-08-11,1.101500
2009-08-12,1.088400
2009-08-13,1.089000
2009-08-14,1.099800
2009-08-17,1.107200
2009-08-18,1.101800
2009-08-19,1.095600
2009-08-20,1.087300
2009-08-21,1.081900
2009-08-24,1.077000
2009-08-25,1.085800
2009-08-26,1.097800
2009-08-27,1.085600
2009-08-28,1.091900
2009-08-31,1.095000
2009-09-01,1.104100
2009-09-02,1.104800
2009-09-03,1.103300
2009-09-04,1.086700
2009-09-08,1.079400
2009-09-09,1.081000
2009-09-10,1.078300
2009-09-11,1.078600
2009-09-14,1.083500
2009-09-15,1.071400
2009-09-16,1.064900
2009-09-17,1.066800
2009-09-18,1.069700
2009-09-21,1.077500
2009-09-22,1.069100
2009-09-23,1.075100
2009-09-24,1.089000
2009-09-25,1.091700
2009-09-28,1.087500
2009-09-29,1.085500
2009-09-30,1.070700
2009-10-01,1.084500
2009-10-02,1.082500
2009-10-05,1.070100
2009-10-06,1.059600
2009-10-07,1.062400
2009-10-08,1.052200
2009-10-09,1.044400
2009-10-13,1.036500
2009-10-14,1.025900
2009-10-15,1.034500
2009-10-16,1.038200
2009-10-19,1.029300
2009-10-20,1.050800
2009-10-21,1.046000
2009-10-22,1.047800
2009-10-23,1.051900
2009-10-26,1.067000
2009-10-27,1.066100
2009-10-28,1.078500
2009-10-29,1.067000
2009-10-30,1.081900
2009-11-02,1.077800
2009-11-03,1.068200
2009-11-04,1.063800
2009-11-05,1.065800
2009-11-06,1.075300
2009-11-09,1.057400
2009-11-10,1.050100
2009-11-12,1.056100
2009-11-13,1.050500
2009-11-16,1.047100
2009-11-17,1.051100
2009-11-18,1.054500
2009-11-19,1.063500
2009-11-20,1.069900
2009-11-23,1.055800
2009-11-24,1.058000
2009-11-25,1.045500
2009-11-26,1.060500
2009-11-27,1.061500
2009-11-30,1.055600
2009-12-01,1.046700
2009-12-02,1.050200
2009-12-03,1.054700
